bolge_id,bolge_adi,sehir,ulke,tr_vize,us_vize,fiyat_seviye,en_iyi_mevsim,l1_deniz,l1_doga,l1_tarih,l1_eglence,l1_sakin,l1_sehir_hayati,l1_macera,l1_luks,l2_kultur,l2_su_spor,l2_hava_spor,l2_doga_spor,l2_yemek,l2_fotografik,kis_spor
12,Guney Amerika Doga,Patagonia,Arjantin/Sili,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.980,0.080,0.080,0.780,0.080,0.950,0.206,0.080,0.080,0.080,0.080,0.080,0.920,0.080
12,Guney Amerika Doga,Machu Picchu,Peru,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.636,0.193,0.080,0.080,0.080,0.539,0.206,0.080,0.080,0.080,0.080,0.080,0.539,0.080
12,Guney Amerika Doga,Amazon,Brezilya,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.613,0.080,0.080,0.080,0.080,0.539,0.206,0.080,0.080,0.080,0.080,0.080,0.539,0.080
12,Guney Amerika Doga,Galapagos,Ekvador,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.613,0.080,0.080,0.080,0.080,0.539,0.206,0.080,0.080,0.080,0.080,0.080,0.539,0.080
12,Guney Amerika Doga,Uyuni,Bolivya,vizesiz,vizesiz,dusuk,yaz,0.080,0.601,0.080,0.080,0.080,0.080,0.539,0.206,0.080,0.080,0.080,0.080,0.080,0.539,0.080
13,Guneydogu Asya,Bali,Endonezya,kapida,kapida,orta,dort_mevsim,0.477,0.080,0.080,0.080,0.080,0.133,0.080,0.356,0.415,0.080,0.080,0.080,0.433,0.080,0.080
13,Guneydogu Asya,Bangkok,Tayland,vizesiz,vizesiz,orta,dort_mevsim,0.477,0.080,0.080,0.080,0.080,0.133,0.080,0.356,0.415,0.080,0.080,0.080,0.433,0.080,0.080
13,Guneydogu Asya,Phuket,Tayland,vizesiz,vizesiz,orta,dort_mevsim,0.477,0.080,0.080,0.080,0.080,0.080,0.080,0.356,0.415,0.080,0.080,0.080,0.433,0.080,0.080
13,Guneydogu Asya,Siem Reap,Kambocya,kapida,kapida,orta,dort_mevsim,0.477,0.080,0.080,0.080,0.080,0.133,0.080,0.356,0.415,0.080,0.080,0.080,0.433,0.080,0.080
13,Guneydogu Asya,Krabi,Tayland,vizesiz,vizesiz,orta,dort_mevsim,0.477,0.080,0.080,0.080,0.080,0.080,0.080,0.356,0.415,0.080,0.080,0.080,0.433,0.080,0.080
14,Vietnam ve Hindistan,Ho Chi Minh,Vietnam,evize,evize,dusuk,dort_mevsim,0.080,0.080,0.390,0.080,0.080,0.080,0.080,0.152,0.495,0.080,0.080,0.080,0.415,0.080,0.080
14,Vietnam ve Hindistan,Hanoi,Vietnam,evize,evize,dusuk,dort_mevsim,0.080,0.112,0.390,0.080,0.080,0.133,0.080,0.152,0.495,0.080,0.080,0.080,0.415,0.080,0.080
14,Vietnam ve Hindistan,Goa,Hindistan,evize,evize,dusuk,dort_mevsim,0.080,0.080,0.390,0.080,0.080,0.249,0.080,0.152,0.495,0.080,0.080,0.080,0.415,0.080,0.080
14,Vietnam ve Hindistan,Jaipur,Hindistan,evize,evize,dusuk,dort_mevsim,0.080,0.080,0.390,0.080,0.080,0.515,0.080,0.152,0.495,0.080,0.080,0.080,0.415,0.080,0.080
14,Vietnam ve Hindistan,Varanasi,Hindistan,evize,evize,dusuk,dort_mevsim,0.080,0.080,0.390,0.080,0.080,0.349,0.080,0.152,0.495,0.080,0.080,0.080,0.415,0.080,0.080
15,Karayipler,Punta Cana,Dominik Cumhuriyeti,vizesiz,vizesiz,orta,dort_mevsim,0.621,0.080,0.080,0.080,0.390,0.080,0.080,0.515,0.080,0.080,0.080,0.080,0.080,0.080,0.080
15,Karayipler,Havana,Kuba,vizesiz,kisitli,orta,dort_mevsim,0.601,0.080,0.080,0.080,0.390,0.249,0.080,0.485,0.080,0.080,0.080,0.080,0.080,0.080,0.080
15,Karayipler,Barbados,Barbados,vizesiz,vizesiz,orta,dort_mevsim,0.601,0.080,0.080,0.080,0.390,0.133,0.080,0.485,0.080,0.080,0.080,0.080,0.080,0.080,0.080
15,Karayipler,Nassau,Bahamalar,vizesiz,vizesiz,orta,dort_mevsim,0.601,0.080,0.080,0.080,0.390,0.133,0.080,0.485,0.080,0.080,0.080,0.080,0.080,0.080,0.080
15,Karayipler,Montego Bay,Jamaika,vizesiz,vizesiz,orta,dort_mevsim,0.601,0.080,0.080,0.080,0.390,0.133,0.080,0.485,0.080,0.080,0.080,0.080,0.080,0.080,0.080
16,Dogu Afrika,Zanzibar,Tanzanya,evize,evize,dusuk,dort_mevsim,0.080,0.576,0.080,0.080,0.080,0.080,0.514,0.206,0.080,0.080,0.080,0.080,0.080,0.495,0.080
16,Dogu Afrika,Serengeti,Tanzanya,evize,evize,dusuk,dort_mevsim,0.080,0.980,0.080,0.080,0.080,0.080,0.880,0.206,0.080,0.080,0.080,0.080,0.080,0.900,0.080
16,Dogu Afrika,Nairobi,Kenya,evize,evize,dusuk,dort_mevsim,0.080,0.588,0.080,0.080,0.080,0.249,0.514,0.206,0.080,0.080,0.080,0.080,0.080,0.495,0.080
16,Dogu Afrika,Kilimanjaro,Tanzanya,evize,evize,dusuk,dort_mevsim,0.080,0.588,0.080,0.080,0.080,0.080,0.564,0.206,0.080,0.080,0.080,0.212,0.080,0.495,0.080
16,Dogu Afrika,Kigali,Ruanda,evize,evize,dusuk,dort_mevsim,0.080,0.576,0.080,0.080,0.080,0.249,0.514,0.206,0.080,0.080,0.080,0.080,0.080,0.495,0.080
17,Orta Dogu Tarihi,Petra,Urdun,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.550,0.980,0.080,0.080,0.212,0.080,0.206,0.452,0.080,0.080,0.080,0.080,0.920,0.080
17,Orta Dogu Tarihi,Wadi Rum,Urdun,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.173,0.619,0.080,0.080,0.080,0.212,0.206,0.452,0.080,0.080,0.212,0.080,0.433,0.080
17,Orta Dogu Tarihi,Olu Deniz,Urdun,vizesiz,vizesiz,dusuk,dort_mevsim,0.080,0.080,0.576,0.080,0.080,0.080,0.080,0.206,0.452,0.080,0.080,0.080,0.080,0.433,0.080
17,Orta Dogu Tarihi,Kahire,Misir,kapida,kapida,dusuk,dort_mevsim,0.080,0.080,0.576,0.080,0.080,0.133,0.080,0.206,0.452,0.080,0.080,0.080,0.080,0.433,0.080
